,Chromosome,Start,End,Name,Score,Strand,ThickStart,ThickEnd,ItemRGB,BlockCount
0,chr1,225474842,225475404,.,1000,.,482.85414,-1.0,4.94451,275
1,chr1,114346412,114346936,.,1000,.,438.65469,-1.0,4.94451,265
2,chr1,9626924,9627430,.,817,.,421.13044,-1.0,4.94451,226
3,chr1,230642129,230642621,.,1000,.,420.84444,-1.0,4.94451,229
4,chr1,3491156,3491628,.,1000,.,411.82619,-1.0,4.94451,225
5,chr1,207963508,207963952,.,1000,.,407.96381,-1.0,4.94451,214
6,chr1,5514526,5514971,.,1000,.,399.77191,-1.0,4.94451,206
7,chr1,212455793,212456320,.,1000,.,395.0529,-1.0,4.94451,271
8,chr1,85259555,85260002,.,1000,.,393.22451,-1.0,4.94451,216
9,chr1,7667473,7667969,.,1000,.,390.21611,-1.0,4.94451,248
10,chr1,20633164,20633658,.,1000,.,387.70445,-1.0,4.94451,237
11,chr1,155061461,155061892,.,1000,.,378.4311,-1.0,4.94451,223
12,chr1,155250624,155251092,.,1000,.,378.06418,-1.0,4.94451,219
13,chr1,17419807,17420241,.,1000,.,377.48467,-1.0,4.94451,211
14,chr1,178542444,178542938,.,1000,.,375.04149,-1.0,4.94451,228
15,chr1,26035894,26036371,.,1000,.,374.40921,-1.0,4.94451,237
16,chr1,41268135,41268592,.,1000,.,371.72805,-1.0,4.94451,213
17,chr1,150979415,150979883,.,1000,.,370.52756,-1.0,4.94451,241
18,chr1,47710441,47710892,.,845,.,369.97381,-1.0,4.94451,247
19,chr1,31964043,31964506,.,1000,.,366.51052,-1.0,4.94451,243
20,chr1,6701667,6702161,.,1000,.,365.32306,-1.0,4.94451,248
21,chr1,155989313,155989767,.,1000,.,364.10191,-1.0,4.94451,256
22,chr1,204162465,204162915,.,1000,.,363.39819,-1.0,4.94451,199
23,chr1,205273438,205273896,.,1000,.,362.3189,-1.0,4.94451,193
24,chr1,222465265,222465717,.,1000,.,361.30434,-1.0,4.94451,240
25,chr1,27044499,27044927,.,1000,.,361.29195,-1.0,4.94451,204
26,chr1,227542481,227542957,.,1000,.,359.84212,-1.0,4.94451,229
27,chr1,11838636,11839047,.,1000,.,356.66525,-1.0,4.94451,205
28,chr1,226626453,226626858,.,1000,.,356.19132,-1.0,4.94451,190
29,chr1,201512907,201513389,.,1000,.,355.66511,-1.0,4.94451,251
30,chr1,32712097,32712544,.,1000,.,355.08089,-1.0,4.94451,238
31,chr1,206612351,206612732,.,672,.,354.61617,-1.0,4.94451,185
32,chr1,25895353,25895801,.,1000,.,354.48064,-1.0,4.94451,221
33,chr1,1001795,1002249,.,1000,.,351.13722,-1.0,4.94451,220
34,chr1,223081385,223081813,.,1000,.,347.76606,-1.0,4.94451,208
35,chr1,209627624,209628036,.,1000,.,344.27728,-1.0,4.94451,217
36,chr1,35882880,35883292,.,1000,.,344.2656,-1.0,4.94451,205
37,chr1,220690020,220690556,.,1000,.,343.51485,-1.0,4.94451,267
38,chr1,109984345,109984806,.,1000,.,342.66108,-1.0,4.94451,258
39,chr1,47437716,47438166,.,1000,.,342.43866,-1.0,4.94451,227
40,chr1,56831813,56832287,.,1000,.,340.80777,-1.0,4.94451,238
41,chr1,155091398,155091802,.,1000,.,340.13242,-1.0,4.94451,221
42,chr1,66726040,66726447,.,1000,.,339.26282,-1.0,4.94451,205
43,chr1,153568501,153568958,.,1000,.,337.95228,-1.0,4.94451,219
44,chr1,45570029,45570478,.,1000,.,337.71012,-1.0,4.94451,218
45,chr1,44005586,44006028,.,1000,.,337.63644,-1.0,4.94451,245
46,chr1,34866312,34866731,.,862,.,337.43419,-1.0,4.94451,220
47,chr1,44595125,44595517,.,1000,.,337.25313,-1.0,4.94451,199
48,chr1,9867428,9867889,.,1000,.,337.12292,-1.0,4.94451,234
49,chr1,12229724,12230196,.,1000,.,336.95865,-1.0,4.94451,217
50,chr1,15323518,15323910,.,1000,.,336.42563,-1.0,4.94451,197
51,chr1,36088589,36088982,.,1000,.,336.39542,-1.0,4.94451,205
52,chr1,94805794,94806233,.,1000,.,335.98986,-1.0,4.94451,230
53,chr1,21368432,21368873,.,1000,.,335.86292,-1.0,4.94451,241
54,chr1,157155972,157156418,.,1000,.,335.53297,-1.0,4.94451,224
55,chr1,156659885,156660337,.,1000,.,335.31076,-1.0,4.94451,260
56,chr1,33094961,33095375,.,1000,.,334.86739,-1.0,4.94451,226
57,chr1,27357476,27357878,.,1000,.,333.77953,-1.0,4.94451,204
58,chr1,89762933,89763334,.,1000,.,333.69146,-1.0,4.94451,212
59,chr1,181424873,181425312,.,1000,.,333.50752,-1.0,4.94451,251
60,chr1,27097359,27097801,.,1000,.,333.13757,-1.0,4.94451,241
61,chr1,67500409,67500848,.,1000,.,332.97842,-1.0,4.94451,215
62,chr1,226121433,226121901,.,1000,.,332.93912,-1.0,4.94451,222
63,chr1,61049865,61050282,.,1000,.,332.63615,-1.0,4.94451,190
64,chr1,1372003,1372439,.,1000,.,331.54767,-1.0,4.94451,237
65,chr1,27102675,27103061,.,1000,.,331.37253,-1.0,4.94451,193
66,chr1,155017478,155017920,.,1000,.,331.19578,-1.0,4.94451,222
67,chr1,109493764,109494218,.,1000,.,330.70368,-1.0,4.94451,230
68,chr1,42173285,42173733,.,1000,.,328.71081,-1.0,4.94451,241
69,chr1,9495205,9495606,.,1000,.,328.4669,-1.0,4.94451,206
70,chr1,205591753,205592224,.,983,.,326.79997,-1.0,4.94451,246
71,chr1,93813971,93814398,.,1000,.,326.31586,-1.0,4.94451,225
72,chr1,214261460,214261892,.,1000,.,325.90616,-1.0,4.94451,212
73,chr1,145721143,145721551,.,1000,.,325.46967,-1.0,4.94451,198
74,chr1,33632985,33633415,.,1000,.,324.91041,-1.0,4.94451,215
75,chr1,201254495,201254892,.,1000,.,324.86246,-1.0,4.94451,232
76,chr1,95043370,95043812,.,881,.,324.71639,-1.0,4.94451,227
77,chr1,27300775,27301170,.,1000,.,324.59158,-1.0,4.94451,191
78,chr1,31715608,31716055,.,1000,.,324.56467,-1.0,4.94451,225
79,chr1,207885056,207885484,.,1000,.,323.9777,-1.0,4.94451,183
80,chr1,37989965,37990428,.,1000,.,323.83562,-1.0,4.94451,204
81,chr1,159936337,159936756,.,1000,.,323.48268,-1.0,4.94451,235
82,chr1,51296774,51297193,.,1000,.,323.4753,-1.0,4.94451,214
83,chr1,109112642,109113073,.,1000,.,321.2402,-1.0,4.94451,202
84,chr1,201704192,201704607,.,1000,.,320.27604,-1.0,4.94451,206
85,chr1,205485475,205485899,.,1000,.,320.11698,-1.0,4.94451,219
86,chr1,203273026,203273616,.,1000,.,319.37737,-1.0,4.94451,232
87,chr1,155193433,155193880,.,1000,.,319.1072,-1.0,4.94451,225
88,chr1,156657437,156657831,.,1000,.,318.67897,-1.0,4.94451,204
89,chr1,44786059,44786493,.,1000,.,317.85145,-1.0,4.94451,208
90,chr1,235104121,235104545,.,1000,.,317.7486,-1.0,4.94451,238
91,chr1,29236176,29236618,.,1000,.,317.7317,-1.0,4.94451,247
92,chr1,11037572,11037995,.,1000,.,317.68371,-1.0,4.94451,211
93,chr1,11719777,11720199,.,1000,.,317.36959,-1.0,4.94451,205
94,chr1,28517931,28518405,.,884,.,317.34024,-1.0,4.94451,236
95,chr1,204806945,204807614,.,757,.,317.29317,-1.0,4.94451,341
96,chr1,207868998,207869456,.,1000,.,317.16469,-1.0,4.94451,231
97,chr1,4652514,4652967,.,1000,.,316.98434,-1.0,4.94451,235
98,chr1,33367740,33368185,.,1000,.,316.74312,-1.0,4.94451,212
99,chr1,223749161,223749518,.,1000,.,316.42109,-1.0,4.94451,163
100,chr1,37487363,37487764,.,1000,.,316.38499,-1.0,4.94451,196
101,chr1,30779592,30779971,.,1000,.,316.36833,-1.0,4.94451,186
102,chr1,13960372,13960810,.,1000,.,316.15431,-1.0,4.94451,206
103,chr1,12124755,12125172,.,1000,.,315.92808,-1.0,4.94451,192
104,chr1,2315135,2315537,.,1000,.,314.82294,-1.0,4.94451,174
105,chr1,210407223,210407606,.,1000,.,314.36142,-1.0,4.94451,182
106,chr1,84620780,84621280,.,1000,.,312.7437,-1.0,4.94451,295
107,chr1,112369668,112370105,.,1000,.,312.54197,-1.0,4.94451,223
108,chr1,47192884,47193263,.,1000,.,311.82427,-1.0,4.94451,176
109,chr1,36369004,36369432,.,1000,.,311.77942,-1.0,4.94451,213
110,chr1,211515357,211515772,.,1000,.,311.71572,-1.0,4.94451,217
111,chr1,201828864,201829239,.,1000,.,311.67135,-1.0,4.94451,184
112,chr1,6246659,6247125,.,1000,.,310.26912,-1.0,4.94451,235
113,chr1,223123686,223124086,.,1000,.,309.93759,-1.0,4.94451,210
114,chr1,167803266,167803707,.,1000,.,309.57061,-1.0,4.94451,247
115,chr1,30801691,30802118,.,1000,.,309.30775,-1.0,4.94451,217
116,chr1,41516041,41516517,.,850,.,308.73429,-1.0,4.94451,236
117,chr1,109776755,109777210,.,1000,.,308.36542,-1.0,4.94451,259
118,chr1,85308088,85308543,.,1000,.,308.34516,-1.0,4.94451,217
119,chr1,226828082,226828457,.,1000,.,308.31118,-1.0,4.94451,172
120,chr1,165592941,165593321,.,1000,.,308.21153,-1.0,4.94451,197
121,chr1,5509808,5510232,.,1000,.,308.09615,-1.0,4.94451,246
122,chr1,6554405,6554846,.,1000,.,307.98039,-1.0,4.94451,228
123,chr1,226125146,226125563,.,1000,.,307.2946,-1.0,4.94451,195
124,chr1,24391253,24391655,.,1000,.,306.5458,-1.0,4.94451,212
125,chr1,156130307,156130687,.,1000,.,306.46942,-1.0,4.94451,207
126,chr1,157991894,157992332,.,1000,.,306.28327,-1.0,4.94451,246
127,chr1,181189827,181190231,.,1000,.,305.72678,-1.0,4.94451,217
128,chr1,26104917,26105309,.,1000,.,305.39553,-1.0,4.94451,223
